year,city,country,avg_temp,10y_ma
1989,Dallas,United States,17.48,18.13
1990,Dallas,United States,18.97,18.1
1991,Dallas,United States,18.47,18.27
1992,Dallas,United States,18.19,18.24
1993,Dallas,United States,17.82,18.22
1994,Dallas,United States,18.31,18.19
1995,Dallas,United States,18.45,18.29
1996,Dallas,United States,18.43,18.29
1997,Dallas,United States,17.85,18.31
1998,Dallas,United States,19.85,18.22
1999,Dallas,United States,19.61,18.36
2000,Dallas,United States,18.9,18.49
2001,Dallas,United States,18.55,18.62
2002,Dallas,United States,18.19,18.58
2003,Dallas,United States,18.55,18.56
2004,Dallas,United States,18.58,18.59
2005,Dallas,United States,19.13,18.66
2006,Dallas,United States,19.85,18.74
2007,Dallas,United States,18.42,18.86
2008,Dallas,United States,18.52,18.86
2009,Dallas,United States,18.42,18.92
2010,Dallas,United States,18.69,18.79
2011,Dallas,United States,19.69,18.71
2012,Dallas,United States,19.99,18.78
2013,Dallas,United States,20.45,18.91
