country,year,month,lat,lon,TAVG,TMAX,TMIN,PRCP,SNOW,SNWD
Puerto Rico [United States],1988,12,18.4325,-66.0108,24.916129032258073,28.225806451612897,21.606451612903232,3.3354838709677415,0.0,0.0
Puerto Rico [United States],1989,1,18.4325,-66.0108,24.543548387096777,28.093548387096767,20.99354838709678,2.4290322580645154,0.0,0.0
Puerto Rico [United States],1989,2,18.4325,-66.0108,24.439285714285713,27.699999999999992,21.178571428571438,5.489285714285715,0.0,0.0
Puerto Rico [United States],1989,3,18.4325,-66.0108,24.522580645161298,28.08387096774192,20.961290322580652,2.7774193548387096,0.0,0.0
Puerto Rico [United States],1989,4,18.4325,-66.0108,25.978333333333335,29.819999999999993,22.136666666666667,2.23,0.0,0.0
Puerto Rico [United States],1989,5,18.4325,-66.0108,26.819354838709685,30.899999999999995,22.738709677419347,4.0,0.0,0.0
Puerto Rico [United States],1989,6,18.4325,-66.0108,27.310000000000002,30.58333333333334,24.036666666666665,2.5166666666666666,0.0,0.0
Puerto Rico [United States],1989,7,18.4325,-66.0108,27.664516129032247,30.96451612903228,24.364516129032253,4.548387096774193,0.0,0.0
Puerto Rico [United States],1989,8,18.4325,-66.0108,27.94193548387096,31.57419354838711,24.309677419354827,6.458064516129033,0.0,0.0
Puerto Rico [United States],1989,9,18.4325,-66.0108,27.92000000000001,31.64666666666666,24.19333333333332,12.553333333333335,0.0,0.0
Puerto Rico [United States],1989,10,18.4325,-66.0108,27.627419354838715,31.42903225806452,23.8258064516129,1.7193548387096775,0.0,0.0
Puerto Rico [United States],1989,11,18.4325,-66.0108,26.68166666666666,30.29333333333334,23.07,4.193333333333333,0.0,0.0
Puerto Rico [United States],1989,12,18.4325,-66.0108,26.201612903225808,30.59677419354839,21.806451612903235,2.0516129032258066,0.0,0.0
Puerto Rico [United States],1990,1,18.4325,-66.0108,25.04516129032258,28.55161290322579,21.53870967741936,3.7419354838709675,0.0,0.0
Puerto Rico [United States],1990,2,18.4325,-66.0108,24.657142857142862,28.114285714285707,21.200000000000006,2.7428571428571416,0.0,0.0
Puerto Rico [United States],1990,3,18.4325,-66.0108,24.71451612903226,28.129032258064505,21.300000000000008,2.5774193548387094,0.0,0.0
Puerto Rico [United States],1990,4,18.4325,-66.0108,26.16166666666667,29.966666666666654,22.35666666666667,0.8933333333333333,0.0,0.0
Puerto Rico [United States],1990,5,18.4325,-66.0108,27.601612903225806,31.245161290322574,23.958064516129028,1.9935483870967738,0.0,0.0
Puerto Rico [United States],1990,6,18.4325,-66.0108,27.98166666666667,31.45000000000001,24.513333333333332,3.6599999999999993,0.0,0.0
Puerto Rico [United States],1990,7,18.4325,-66.0108,28.072580645161295,31.70322580645162,24.441935483870967,4.72258064516129,0.0,0.0
Puerto Rico [United States],1990,8,18.4325,-66.0108,28.272580645161284,31.767741935483887,24.77741935483871,2.8032258064516125,0.0,0.0
Puerto Rico [United States],1990,9,18.4325,-66.0108,28.541666666666668,32.486666666666665,24.596666666666657,1.89,0.0,0.0
Puerto Rico [United States],1990,10,18.4325,-66.0108,27.832258064516132,31.745161290322585,23.91935483870967,7.090322580645162,0.0,0.0
Puerto Rico [United States],1990,11,18.4325,-66.0108,27.018333333333338,30.783333333333324,23.253333333333334,4.516666666666667,0.0,0.0
Puerto Rico [United States],1990,12,18.4325,-66.0108,25.21935483870968,28.516129032258053,21.922580645161286,4.129032258064516,0.0,0.0
Puerto Rico [United States],1991,1,18.4325,-66.0108,24.967741935483875,28.5516129032258,21.383870967741945,2.1032258064516127,0.0,0.0
Puerto Rico [United States],1991,2,18.4325,-66.0108,25.414285714285715,29.432142857142853,21.396428571428576,2.05,0.0,0.0
Puerto Rico [United States],1991,3,18.4325,-66.0108,25.851612903225806,29.583870967741927,22.11935483870968,1.6322580645161289,0.0,0.0
Puerto Rico [United States],1991,4,18.4325,-66.0108,26.19333333333333,29.74333333333334,22.64333333333332,1.4933333333333332,0.0,0.0
Puerto Rico [United States],1991,5,18.4325,-66.0108,27.245161290322578,30.64516129032258,23.845161290322576,2.6516129032258062,0.0,0.0
Puerto Rico [United States],1991,6,18.4325,-66.0108,28.426666666666666,32.12000000000001,24.733333333333334,2.3466666666666662,0.0,0.0
Puerto Rico [United States],1991,7,18.4325,-66.0108,28.41129032258064,31.63870967741936,25.183870967741935,2.6999999999999997,0.0,0.0
Puerto Rico [United States],1991,8,18.4325,-66.0108,28.854838709677413,32.29677419354839,25.41290322580645,1.5935483870967742,0.0,0.0
