,Year,Month,AvgDryBulbTemp_Atlanta,MinDryBulbTemp_Atlanta,MaxDryBulbTemp_Atlanta,DECADE
242,1968,3,284.38015873015905,267.0388888888889,300.92777777777775,1960
243,1968,4,289.2009259259268,275.3722222222222,301.4833333333333,1960
244,1968,5,292.3121863799287,279.26111111111106,303.15,1960
245,1968,6,297.15556328233714,285.3722222222222,305.92777777777775,1960
246,1968,7,297.76842891278403,291.4833333333333,307.0388888888889,1960
247,1968,8,298.57040023894905,287.59444444444443,309.26111111111106,1960
248,1968,9,294.52422839506227,284.26111111111106,302.59444444444443,1960
249,1968,10,289.2977001194746,272.0388888888889,302.0388888888889,1960
250,1968,11,283.001851851852,269.26111111111106,298.7055555555555,1960
251,1968,12,277.1719515862286,264.81666666666666,289.26111111111106,1960
252,1969,1,277.4557429899541,261.4833333333333,293.7055555555555,1960
253,1969,2,278.67744708994803,268.15,291.4833333333333,1960
254,1969,3,280.9967536362273,267.0388888888889,297.59444444444443,1960
255,1969,4,290.0226851851853,277.0388888888889,301.4833333333333,1960
256,1969,5,293.65552568697734,279.81666666666666,305.3722222222222,1960
257,1969,6,297.99370164035946,286.4833333333333,309.26111111111106,1960
258,1969,7,299.5411290322577,292.59444444444443,307.59444444444443,1960
259,1969,8,297.0568100358419,288.15,304.81666666666666,1960
260,1969,9,294.2472222222221,283.7055555555555,304.26111111111106,1960
261,1969,10,289.6307347670249,277.0388888888889,302.0388888888889,1960
262,1969,11,282.76041954817873,265.92777777777775,295.3722222222222,1960
263,1969,12,278.3135304659496,269.26111111111106,293.15,1960
264,1970,1,275.3841696535249,257.0388888888889,293.7055555555555,1970
265,1970,2,279.63974867724914,259.81666666666666,292.59444444444443,1970
266,1970,3,284.53888888888935,267.59444444444443,297.0388888888889,1970
267,1970,4,290.8197530864197,273.15,303.7055555555555,1970
268,1970,5,294.325328554361,282.59444444444443,304.81666666666666,1970
269,1970,6,296.375308641976,287.0388888888889,305.92777777777775,1970
270,1970,7,298.3523596176826,287.59444444444443,309.26111111111106,1970
271,1970,8,298.5644265232975,292.0388888888889,307.59444444444443,1970
272,1970,9,297.475617283951,282.0388888888889,307.0388888888889,1970
273,1970,10,290.940471923537,278.7055555555555,303.15,1970
274,1970,11,282.52037037037053,263.15,297.59444444444443,1970
275,1970,12,281.675985663083,266.4833333333333,295.3722222222222,1970
276,1971,1,279.0826463560337,263.7055555555555,292.0388888888889,1970
277,1971,2,279.6662037037037,262.0388888888889,294.81666666666666,1970
278,1971,3,281.8265365634817,269.26111111111106,294.81666666666666,1970
279,1971,4,289.30740740740777,273.7055555555555,302.0388888888889,1970
